node_id,pagerank_score
367,0.000567563536749614
249,0.000518991125966187
145,0.0004884868004041933
264,0.000475123291905222
266,0.00046639388321950253
123,0.00044244857830796176
127,0.00044168119018209135
122,0.0004402909822264423
1317,0.0004381528008606509
5,0.0004352018285283185
251,0.0004233856339663304
427,0.00041959231335641757
149,0.00039371694414318996
176,0.0003855029530746184
353,0.00037934894346530523
390,0.00037762011493869344
559,0.0003738090075006344
124,0.0003724630758461324
4,0.0003677125348301391
7,0.0003568327681619203
